customerID,Contract,tenure,MonthlyCharges,InternetService,churn_probability,risk_tier
9300-AGZNL,Month-to-month,1,94.0,Fiber optic,0.924244354001118,High
9497-QCMMS,Month-to-month,1,93.55,Fiber optic,0.9238284191843841,High
4910-GMJOT,Month-to-month,1,94.6,Fiber optic,0.9178063911130503,High
8149-RSOUN,Month-to-month,1,93.85,Fiber optic,0.9178063911130503,High
1069-XAIEM,Month-to-month,1,85.05,Fiber optic,0.9171389144784052,High
5178-LMXOP,Month-to-month,1,95.1,Fiber optic,0.9162037715201866,High
0295-PPHDO,Month-to-month,1,95.45,Fiber optic,0.9154350861754195,High
5192-EBGOV,Month-to-month,1,85.7,Fiber optic,0.9149355883275068,High
7216-EWTRS,Month-to-month,1,100.8,Fiber optic,0.912912322760457,High
9282-IZGQK,Month-to-month,1,85.0,Fiber optic,0.9117569603977607,High
3068-OMWZA,Month-to-month,1,88.8,Fiber optic,0.911754288448027,High
7024-OHCCK,Month-to-month,2,93.85,Fiber optic,0.9102436453763668,High
9248-OJYKK,Month-to-month,1,76.45,Fiber optic,0.9100651149935138,High
8603-IJWDN,Month-to-month,1,86.6,Fiber optic,0.9099449919347619,High
2720-WGKHP,Month-to-month,2,94.0,Fiber optic,0.909534885302923,High
6894-LFHLY,Month-to-month,1,75.75,Fiber optic,0.9091823060492931,High
4424-TKOPW,Month-to-month,2,93.85,Fiber optic,0.9090809064759565,High
4826-XTSOH,Month-to-month,1,86.05,Fiber optic,0.9088765433153202,High
5419-JPRRN,Month-to-month,1,101.45,Fiber optic,0.9085729182963455,High
4912-PIGUY,Month-to-month,1,84.6,Fiber optic,0.9081843610344392,High
4988-IQIGL,Month-to-month,1,75.35,Fiber optic,0.9078002058018151,High
5240-IJOQT,Month-to-month,1,74.7,Fiber optic,0.9075105368064207,High
3551-HUAZH,Month-to-month,1,74.4,Fiber optic,0.9069895309383917,High
8473-VUVJN,Month-to-month,1,73.65,Fiber optic,0.9068161779056484,High
6567-HOOPW,Month-to-month,1,79.2,Fiber optic,0.9054314364007644,High
1374-DMZUI,Month-to-month,4,94.3,Fiber optic,0.9052113653821892,High
3988-RQIXO,Month-to-month,1,91.3,Fiber optic,0.9051915099957479,High
2609-IAICY,Month-to-month,1,77.15,Fiber optic,0.9051789989135807,High
5150-ITWWB,Month-to-month,3,94.85,Fiber optic,0.9047244144953015,High
1833-VGRUM,Month-to-month,1,74.2,Fiber optic,0.9046882636123806,High
8775-LHDJH,Month-to-month,1,90.6,Fiber optic,0.9042810230205305,High
8098-LLAZX,Month-to-month,4,95.45,Fiber optic,0.9041994680220284,High
8580-AECUZ,Month-to-month,1,79.1,Fiber optic,0.9033798121352373,High
0021-IKXGC,Month-to-month,1,72.1,Fiber optic,0.9032917547384468,High
9787-XVQIU,Month-to-month,1,75.3,Fiber optic,0.9030489520687144,High
6358-LYNGM,Month-to-month,1,74.9,Fiber optic,0.9027210653155057,High
1157-BQCUW,Month-to-month,1,74.95,Fiber optic,0.9027210653155057,High
3158-MOERK,Month-to-month,2,96.0,Fiber optic,0.9025933809066097,High
6521-YYTYI,Month-to-month,1,93.3,Fiber optic,0.9023289323466689,High
8058-INTPH,Month-to-month,1,79.65,Fiber optic,0.9022660585566941,High
1415-YFWLT,Month-to-month,1,89.3,Fiber optic,0.9021206159846374,High
1452-VOQCH,Month-to-month,1,75.1,Fiber optic,0.9020090274385151,High
5834-ASPWA,Month-to-month,1,75.45,Fiber optic,0.9017315904212782,High
4102-OQUPX,Month-to-month,1,74.4,Fiber optic,0.9015174270983535,High
5960-WPXQM,Month-to-month,1,79.05,Fiber optic,0.9013830929180073,High
1761-AEZZR,Month-to-month,1,79.55,Fiber optic,0.9013830929180073,High
2514-GINMM,Month-to-month,1,79.5,Fiber optic,0.9013830929180073,High
8740-CRYFY,Month-to-month,1,78.95,Fiber optic,0.9013830929180073,High
4415-IJZTP,Month-to-month,1,74.5,Fiber optic,0.9013629485410621,High
5494-HECPR,Month-to-month,1,80.25,Fiber optic,0.901286706268023,High
7851-WZEKY,Month-to-month,2,95.15,Fiber optic,0.9011916273336508,High
6513-EECDB,Month-to-month,1,73.55,Fiber optic,0.9011465375742294,High
5567-WSELE,Month-to-month,3,94.6,Fiber optic,0.9010070248371514,High
0723-DRCLG,Month-to-month,1,74.45,Fiber optic,0.9009172398064341,High
8816-VXNZD,Month-to-month,1,75.1,Fiber optic,0.9007330706636355,High
2636-ALXXZ,Month-to-month,1,69.6,Fiber optic,0.9005987054051949,High
8375-DKEBR,Month-to-month,1,69.6,Fiber optic,0.9005987054051949,High
4871-JTKJF,Month-to-month,1,69.65,Fiber optic,0.9005987054051949,High
9300-RENDD,Month-to-month,1,79.95,Fiber optic,0.900403740629336,High
0495-RVCBF,Month-to-month,1,79.7,Fiber optic,0.8998618834386427,High
3027-ZTDHO,Month-to-month,1,89.9,Fiber optic,0.8994745689924795,High
0107-YHINA,Month-to-month,1,99.75,Fiber optic,0.8990500896140914,High
7493-TPUWZ,Month-to-month,1,79.15,Fiber optic,0.8988671867982847,High
0970-ETWGE,Month-to-month,1,89.55,Fiber optic,0.8988582754948912,High
5550-VFRLC,Month-to-month,1,69.85,Fiber optic,0.8988335661602552,High
7274-RTAPZ,Month-to-month,1,90.55,Fiber optic,0.8988266726480962,High
3722-WPXTK,Month-to-month,1,88.35,Fiber optic,0.8985120345350699,High
8062-YBDOE,Month-to-month,1,69.65,Fiber optic,0.8983684096043056,High
5539-TMZLF,Month-to-month,1,69.75,Fiber optic,0.8981527377274815,High
1455-ESIQH,Month-to-month,1,89.1,Fiber optic,0.8979388450503663,High
9057-SIHCH,Month-to-month,3,96.6,Fiber optic,0.8978946474625574,High
4614-NUVZD,Month-to-month,1,81.1,Fiber optic,0.8976962162210085,High
2004-OCQXK,Month-to-month,1,81.95,Fiber optic,0.8976494620909402,High
2868-MZAGQ,Month-to-month,1,79.25,Fiber optic,0.8973646922413091,High
8000-REIQB,Month-to-month,1,69.95,Fiber optic,0.8969943878614838,High
9681-OXGVC,Month-to-month,5,100.5,Fiber optic,0.8968359648318291,High
7439-DKZTW,Month-to-month,1,80.55,Fiber optic,0.8966873873429811,High
7577-SWIFR,Month-to-month,1,89.25,Fiber optic,0.8966679219729305,High
7206-GZCDC,Month-to-month,1,69.25,Fiber optic,0.8964198939153668,High
